,ID hecho,MM,FECHA ,VEHICULO_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,AÑO,semestre
0,LC-2019-0000053,1,2019-01-01,,Varon,57.0,2019,S1H1
1,LC-2019-0000063,1,2019-01-01,,,,2019,S1H1
2,LC-2019-0000079,1,2019-01-01,,Varon,,2019,S1H1
3,LC-2019-0000082,1,2019-01-01,,Varon,45.0,2019,S1H1
4,LC-2019-0000082,1,2019-01-01,,Mujer,45.0,2019,S1H1
5,LC-2019-0000082,1,2019-01-01,,Varon,27.0,2019,S1H1
6,LC-2019-0000082,1,2019-01-01,,Mujer,32.0,2019,S1H1
7,LC-2019-0000136,1,2019-01-01,,Varon,21.0,2019,S1H1
8,LC-2019-0000136,1,2019-01-01,,Mujer,21.0,2019,S1H1
9,LC-2019-0000142,1,2019-01-01,,Varon,37.0,2019,S1H1
10,LC-2019-0000179,1,2019-01-01,,,,2019,S1H1
11,LC-2019-0000194,1,2019-01-01,,Mujer,33.0,2019,S1H1
12,LC-2019-0000202,1,2019-01-01,,Varon,25.0,2019,S1H1
13,LC-2019-0000329,1,2019-01-01,,Varon,23.0,2019,S1H1
14,LC-2019-0000347,1,2019-01-01,,Varon,,2019,S1H1
15,LC-2019-0000445,1,2019-01-01,,Varon,42.0,2019,S1H1
16,LC-2019-0000445,1,2019-01-01,,Mujer,42.0,2019,S1H1
17,LC-2019-0000445,1,2019-01-01,,Varon,37.0,2019,S1H1
18,LC-2019-0000493,1,2019-01-01,,Varon,53.0,2019,S1H1
19,LC-2019-0000600,1,2019-01-01,,Mujer,1.0,2019,S1H1
20,LC-2019-0000636,1,2019-01-01,,Mujer,62.0,2019,S1H1
21,LC-2019-0000647,1,2019-01-01,,Varon,,2019,S1H1
22,LC-2019-0000686,1,2019-01-01,,Mujer,67.0,2019,S1H1
23,LC-2019-0005235,1,2019-01-01,,Mujer,75.0,2019,S1H1
24,LC-2019-0000928,1,2019-01-02,,Mujer,40.0,2019,S1H1
25,LC-2019-0000963,1,2019-01-02,,Mujer,48.0,2019,S1H1
26,LC-2019-0000963,1,2019-01-02,,Varon,48.0,2019,S1H1
27,LC-2019-0000963,1,2019-01-02,,Mujer,27.0,2019,S1H1
28,LC-2019-0000963,1,2019-01-02,,Mujer,3.0,2019,S1H1
29,LC-2019-0000963,1,2019-01-02,,Mujer,33.0,2019,S1H1
30,LC-2019-0001754,1,2019-01-02,,Mujer,49.0,2019,S1H1
31,LC-2019-0001879,1,2019-01-02,,,,2019,S1H1
32,LC-2019-0001948,1,2019-01-02,,Varon,,2019,S1H1
33,LC-2019-0547054,9,2019-09-01,,Varon,25.0,2019,S1H2
34,LC-2019-0001992,1,2019-01-02,,Varon,34.0,2019,S1H1
35,LC-2019-0002083,1,2019-01-02,,Varon,27.0,2019,S1H1
36,LC-2019-0002208,1,2019-01-02,,Varon,34.0,2019,S1H1
37,LC-2019-0002218,1,2019-01-02,,Varon,52.0,2019,S1H1
38,LC-2019-0002740,1,2019-01-02,,Varon,44.0,2019,S1H1
39,LC-2019-0003220,1,2019-01-02,,Mujer,28.0,2019,S1H1
40,LC-2019-0003220,1,2019-01-02,,Varon,28.0,2019,S1H1
41,LC-2019-0003340,1,2019-01-02,,,,2019,S1H1
42,LC-2019-0005610,1,2019-01-02,,Varon,59.0,2019,S1H1
43,LC-2019-0020183,1,2019-01-02,,Varon,50.0,2019,S1H1
44,LC-2019-0022496,1,2019-01-02,,Varon,73.0,2019,S1H1
45,LC-2019-0003428,1,2019-01-03,,Varon,45.0,2019,S1H1
46,LC-2019-0816662,12,2019-12-24,,Varon,26.0,2019,S1H2
47,LC-2019-0025711,1,2019-01-13,,Varon,32.0,2019,S1H1
48,LC-2019-0003642,1,2019-01-03,,Varon,51.0,2019,S1H1
49,LC-2019-0003787,1,2019-01-03,,Varon,48.0,2019,S1H1
50,LC-2019-0003862,1,2019-01-03,,Mujer,37.0,2019,S1H1
51,LC-2019-0003862,1,2019-01-03,,Varon,37.0,2019,S1H1
52,LC-2019-0003884,1,2019-01-03,,Mujer,,2019,S1H1
53,LC-2019-0004144,1,2019-01-03,,Varon,16.0,2019,S1H1
54,LC-2019-0004229,1,2019-01-03,,Mujer,43.0,2019,S1H1
55,LC-2019-0004442,1,2019-01-03,,Mujer,38.0,2019,S1H1
56,LC-2019-0004442,1,2019-01-03,,Varon,38.0,2019,S1H1
57,LC-2019-0004565,1,2019-01-03,,Mujer,,2019,S1H1
58,LC-2019-0004621,1,2019-01-03,,Varon,,2019,S1H1
59,LC-2019-0004622,1,2019-01-03,,Mujer,,2019,S1H1
60,LC-2019-0004652,1,2019-01-03,,Varon,28.0,2019,S1H1
61,LC-2019-0004717,1,2019-01-03,,Varon,45.0,2019,S1H1
62,LC-2019-0004718,1,2019-01-03,,Varon,51.0,2019,S1H1
63,LC-2019-0005334,1,2019-01-03,,Varon,33.0,2019,S1H1
64,LC-2019-0005614,1,2019-01-03,,Varon,43.0,2019,S1H1
65,LC-2019-0005622,1,2019-01-03,,Mujer,64.0,2019,S1H1
66,LC-2019-0005638,1,2019-01-03,,Varon,36.0,2019,S1H1
67,LC-2019-0005638,1,2019-01-03,,Mujer,36.0,2019,S1H1
68,LC-2019-0005647,1,2019-01-03,,Varon,45.0,2019,S1H1
69,LC-2019-0005681,1,2019-01-03,,Mujer,,2019,S1H1
70,LC-2019-0005764,1,2019-01-03,,Varon,84.0,2019,S1H1
71,LC-2019-0005815,1,2019-01-03,,Varon,22.0,2019,S1H1
72,LC-2019-0005979,1,2019-01-03,,Varon,26.0,2019,S1H1
73,LC-2019-0654194,10,2019-10-19,,Varon,32.0,2019,S1H2
74,LC-2019-0006068,1,2019-01-04,,Mujer,20.0,2019,S1H1
75,LC-2019-0006306,1,2019-01-04,,Varon,,2019,S1H1
76,LC-2019-0006547,1,2019-01-04,,Varon,38.0,2019,S1H1
77,LC-2019-0006638,1,2019-01-04,,Varon,37.0,2019,S1H1
78,LC-2019-0006638,1,2019-01-04,,Varon,37.0,2019,S1H1
79,LC-2019-0006659,1,2019-01-04,,Varon,48.0,2019,S1H1
80,LC-2019-0006789,1,2019-01-04,,Mujer,5.0,2019,S1H1
81,LC-2019-0006837,1,2019-01-04,,Mujer,,2019,S1H1
82,LC-2019-0006857,1,2019-01-04,,Mujer,,2019,S1H1
83,LC-2019-0007002,1,2019-01-04,,Varon,,2019,S1H1
84,LC-2019-0007021,1,2019-01-04,,Varon,34.0,2019,S1H1
