,ID,MM,HH,TIPO_DE_CALLE,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,AÑO,SEMESTRE_x,AMM,N_VICTIMAS,HSV,Cambio_Porcentual
0,2016-0001,1,4.0,AVENIDA,8.0,MOTO-AUTO,MOTO,AUTO,2016,S1H1,0.0,65,2.0829247596304827,
1,2016-0001,1,4.0,AVENIDA,8.0,MOTO-AUTO,MOTO,AUTO,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
2,2016-0002,1,1.0,GRAL PAZ,9.0,AUTO-PASAJEROS,AUTO,PASAJEROS,2016,S1H1,0.0,65,2.0829247596304827,
3,2016-0002,1,1.0,GRAL PAZ,9.0,AUTO-PASAJEROS,AUTO,PASAJEROS,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
4,2016-0003,1,7.0,AVENIDA,1.0,MOTO-AUTO,MOTO,AUTO,2016,S1H1,0.0,65,2.0829247596304827,
5,2016-0003,1,7.0,AVENIDA,1.0,MOTO-AUTO,MOTO,AUTO,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
6,2016-0004,1,0.0,AVENIDA,8.0,MOTO-SD,MOTO,,2016,S1H1,0.0,65,2.0829247596304827,
7,2016-0004,1,0.0,AVENIDA,8.0,MOTO-SD,MOTO,,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
8,2016-0005,1,5.0,AVENIDA,1.0,MOTO-PASAJEROS,MOTO,PASAJEROS,2016,S1H1,0.0,65,2.0829247596304827,
9,2016-0005,1,5.0,AVENIDA,1.0,MOTO-PASAJEROS,MOTO,PASAJEROS,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
10,2016-0008,1,18.0,AVENIDA,8.0,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2016,S1H1,0.0,65,2.0829247596304827,
11,2016-0008,1,18.0,AVENIDA,8.0,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
12,2016-0009,1,19.0,CALLE,11.0,MOTO-AUTO,MOTO,AUTO,2016,S1H1,0.0,65,2.0829247596304827,
13,2016-0009,1,19.0,CALLE,11.0,MOTO-AUTO,MOTO,AUTO,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
14,2016-0010,1,15.0,GRAL PAZ,9.0,MOTO-AUTO,MOTO,AUTO,2016,S1H1,0.0,65,2.0829247596304827,
15,2016-0010,1,15.0,GRAL PAZ,9.0,MOTO-AUTO,MOTO,AUTO,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
16,2016-0012,2,1.0,AVENIDA,1.0,MOTO-CARGAS,MOTO,CARGAS,2016,S1H1,0.0,65,2.0829247596304827,
17,2016-0012,2,1.0,AVENIDA,1.0,MOTO-CARGAS,MOTO,CARGAS,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
18,2016-0013,2,11.0,AVENIDA,1.0,PEATON-AUTO,PEATON,AUTO,2016,S1H1,0.0,65,2.0829247596304827,
19,2016-0013,2,11.0,AVENIDA,1.0,PEATON-AUTO,PEATON,AUTO,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
20,2016-0015,2,5.0,AVENIDA,15.0,PEATON-AUTO,PEATON,AUTO,2016,S1H1,0.0,65,2.0829247596304827,
21,2016-0015,2,5.0,AVENIDA,15.0,PEATON-AUTO,PEATON,AUTO,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
22,2016-0016,2,22.0,AVENIDA,4.0,MOTO-AUTO,MOTO,AUTO,2016,S1H1,0.0,65,2.0829247596304827,
23,2016-0016,2,22.0,AVENIDA,4.0,MOTO-AUTO,MOTO,AUTO,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
24,2016-0017,2,16.0,AVENIDA,8.0,PEATON-MOTO,PEATON,MOTO,2016,S1H1,0.0,65,2.0829247596304827,
25,2016-0017,2,16.0,AVENIDA,8.0,PEATON-MOTO,PEATON,MOTO,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
26,2016-0019,2,9.0,CALLE,9.0,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,S1H1,0.0,65,2.0829247596304827,
27,2016-0019,2,9.0,CALLE,9.0,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
28,2016-0020,2,16.0,CALLE,1.0,PEATON-AUTO,PEATON,AUTO,2016,S1H1,0.0,65,2.0829247596304827,
29,2016-0020,2,16.0,CALLE,1.0,PEATON-AUTO,PEATON,AUTO,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
30,2016-0021,2,23.0,AVENIDA,7.0,AUTO-AUTO,AUTO,AUTO,2016,S1H1,0.0,65,2.0829247596304827,
31,2016-0021,2,23.0,AVENIDA,7.0,AUTO-AUTO,AUTO,AUTO,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
32,2016-0022,2,6.0,AVENIDA,1.0,MOTO-AUTO,MOTO,AUTO,2016,S1H1,0.0,65,2.0829247596304827,
33,2016-0022,2,6.0,AVENIDA,1.0,MOTO-AUTO,MOTO,AUTO,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
34,2016-0025,2,4.0,GRAL PAZ,8.0,AUTO-AUTO,AUTO,AUTO,2016,S1H1,0.0,65,2.0829247596304827,
35,2016-0025,2,4.0,GRAL PAZ,8.0,AUTO-AUTO,AUTO,AUTO,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
36,2016-0026,2,7.0,CALLE,12.0,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2016,S1H1,0.0,65,2.0829247596304827,
37,2016-0026,2,7.0,CALLE,12.0,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
38,2016-0027,2,9.0,AVENIDA,7.0,AUTO-AUTO,AUTO,AUTO,2016,S1H1,0.0,65,2.0829247596304827,
39,2016-0027,2,9.0,AVENIDA,7.0,AUTO-AUTO,AUTO,AUTO,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
40,2016-0028,3,10.0,AVENIDA,1.0,PEATON-CARGAS,PEATON,CARGAS,2016,S1H1,0.0,65,2.0829247596304827,
41,2016-0028,3,10.0,AVENIDA,1.0,PEATON-CARGAS,PEATON,CARGAS,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
42,2016-0029,3,17.0,AVENIDA,12.0,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,S1H1,0.0,65,2.0829247596304827,
43,2016-0029,3,17.0,AVENIDA,12.0,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
44,2016-0031,3,12.0,GRAL PAZ,8.0,MOTO-PASAJEROS,MOTO,PASAJEROS,2016,S1H1,0.0,65,2.0829247596304827,
45,2016-0031,3,12.0,GRAL PAZ,8.0,MOTO-PASAJEROS,MOTO,PASAJEROS,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
46,2016-0034,3,12.0,AVENIDA,4.0,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,S1H1,0.0,65,2.0829247596304827,
47,2016-0034,3,12.0,AVENIDA,4.0,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
48,2016-0035,3,6.0,AVENIDA,3.0,MOTO-PASAJEROS,MOTO,PASAJEROS,2016,S1H1,0.0,65,2.0829247596304827,
49,2016-0035,3,6.0,AVENIDA,3.0,MOTO-PASAJEROS,MOTO,PASAJEROS,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
50,2016-0036,3,0.0,CALLE,4.0,MOTO-PASAJEROS,MOTO,PASAJEROS,2016,S1H1,0.0,65,2.0829247596304827,
51,2016-0036,3,0.0,CALLE,4.0,MOTO-PASAJEROS,MOTO,PASAJEROS,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
52,2016-0037,3,11.0,AVENIDA,7.0,MOTO-MOTO,MOTO,MOTO,2016,S1H1,0.0,65,2.0829247596304827,
53,2016-0037,3,11.0,AVENIDA,7.0,MOTO-MOTO,MOTO,MOTO,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
54,2016-0038,3,8.0,GRAL PAZ,8.0,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,S1H1,0.0,65,2.0829247596304827,
55,2016-0038,3,8.0,GRAL PAZ,8.0,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
56,2016-0039,3,1.0,AVENIDA,3.0,MOTO-PASAJEROS,MOTO,PASAJEROS,2016,S1H1,0.0,65,2.0829247596304827,
57,2016-0039,3,1.0,AVENIDA,3.0,MOTO-PASAJEROS,MOTO,PASAJEROS,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
58,2016-0041,3,11.0,AVENIDA,7.0,MOTO-CARGAS,MOTO,CARGAS,2016,S1H1,0.0,65,2.0829247596304827,
59,2016-0041,3,11.0,AVENIDA,7.0,MOTO-CARGAS,MOTO,CARGAS,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
60,2016-0043,3,18.0,AVENIDA,8.0,PEATON-CARGAS,PEATON,CARGAS,2016,S1H1,0.0,65,2.0829247596304827,
61,2016-0043,3,18.0,AVENIDA,8.0,PEATON-CARGAS,PEATON,CARGAS,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
62,2016-0044,3,19.0,AVENIDA,7.0,MULTIPLE,MOTO,MULTIPLE,2016,S1H1,0.0,65,2.0829247596304827,
63,2016-0044,3,19.0,AVENIDA,7.0,MULTIPLE,MOTO,MULTIPLE,2016,S1H1,0.0,81,2.5956447004626018,24.615384615384617
