,ID hecho,AAA,MM,DD,FECHA ,VEHICULO_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,GRAVEDAD
0,LC-2019-0000053,2019,1,1,2019-01-01,,Varon,57.0,
1,LC-2019-0000063,2019,1,1,2019-01-01,,,,
2,LC-2019-0000079,2019,1,1,2019-01-01,,Varon,,
3,LC-2019-0000082,2019,1,1,2019-01-01,,Varon,45.0,
4,LC-2019-0000082,2019,1,1,2019-01-01,,Mujer,45.0,
5,LC-2019-0000082,2019,1,1,2019-01-01,,Varon,27.0,
6,LC-2019-0000082,2019,1,1,2019-01-01,,Mujer,32.0,
7,LC-2019-0000136,2019,1,1,2019-01-01,,Varon,21.0,
8,LC-2019-0000136,2019,1,1,2019-01-01,,Mujer,21.0,
9,LC-2019-0000142,2019,1,1,2019-01-01,,Varon,37.0,
10,LC-2019-0000179,2019,1,1,2019-01-01,,,,
11,LC-2019-0000194,2019,1,1,2019-01-01,,Mujer,33.0,
12,LC-2019-0000202,2019,1,1,2019-01-01,,Varon,25.0,
13,LC-2019-0000329,2019,1,1,2019-01-01,,Varon,23.0,
14,LC-2019-0000347,2019,1,1,2019-01-01,,Varon,,
15,LC-2019-0000445,2019,1,1,2019-01-01,,Varon,42.0,
16,LC-2019-0000445,2019,1,1,2019-01-01,,Mujer,42.0,
17,LC-2019-0000445,2019,1,1,2019-01-01,,Varon,37.0,
18,LC-2019-0000493,2019,1,1,2019-01-01,,Varon,53.0,
19,LC-2019-0000600,2019,1,1,2019-01-01,,Mujer,1.0,
20,LC-2019-0000636,2019,1,1,2019-01-01,,Mujer,62.0,
21,LC-2019-0000647,2019,1,1,2019-01-01,,Varon,,
22,LC-2019-0000686,2019,1,1,2019-01-01,,Mujer,67.0,
23,LC-2019-0005235,2019,1,1,2019-01-01,,Mujer,75.0,
24,LC-2019-0000928,2019,1,2,2019-01-02,,Mujer,40.0,
25,LC-2019-0000963,2019,1,2,2019-01-02,,Mujer,48.0,
26,LC-2019-0000963,2019,1,2,2019-01-02,,Varon,48.0,
27,LC-2019-0000963,2019,1,2,2019-01-02,,Mujer,27.0,
28,LC-2019-0000963,2019,1,2,2019-01-02,,Mujer,3.0,
29,LC-2019-0000963,2019,1,2,2019-01-02,,Mujer,33.0,
30,LC-2019-0001754,2019,1,2,2019-01-02,,Mujer,49.0,
31,LC-2019-0001879,2019,1,2,2019-01-02,,,,
32,LC-2019-0001948,2019,1,2,2019-01-02,,Varon,,
33,LC-2019-0547054,2019,9,1,2019-09-01,,Varon,25.0,
34,LC-2019-0001992,2019,1,2,2019-01-02,,Varon,34.0,
35,LC-2019-0002083,2019,1,2,2019-01-02,,Varon,27.0,
36,LC-2019-0002208,2019,1,2,2019-01-02,,Varon,34.0,
37,LC-2019-0002218,2019,1,2,2019-01-02,,Varon,52.0,
38,LC-2019-0002740,2019,1,2,2019-01-02,,Varon,44.0,
39,LC-2019-0003220,2019,1,2,2019-01-02,,Mujer,28.0,
40,LC-2019-0003220,2019,1,2,2019-01-02,,Varon,28.0,
41,LC-2019-0003340,2019,1,2,2019-01-02,,,,
42,LC-2019-0005610,2019,1,2,2019-01-02,,Varon,59.0,
43,LC-2019-0020183,2019,1,2,2019-01-02,,Varon,50.0,
44,LC-2019-0022496,2019,1,2,2019-01-02,,Varon,73.0,
45,LC-2019-0003428,2019,1,3,2019-01-03,,Varon,45.0,
